flash_team,flash_name,expected_klub_slug,candidate_player_slug,candidate_clubs_all,candidate_clubs_target,candidate_seasons_all,season_club_path,score,relation,reasons,sample_name,same_club_any,same_club_target,target_season_present,suffix_exact,initial_match,abbrev_match
Jagiellonia Białystok,Costa S. T.,jagiellonia-bialystok,tomas-costa-silva,jagiellonia-bialystok,,2024/25,2024/25:jagiellonia-bialystok,97,same_club_history,all_flash_tokens_in_slug | initial_match_any_given_token | same_club_history,Tomás SilvaJagiellonia Białystok,1,0,0,0,1,0
Jagiellonia Białystok,Dieguez A.,jagiellonia-bialystok,adrian-dieguez-grande,jagiellonia-bialystok | radomiak-radom,radomiak-radom,2023/24 | 2024/25 | 2025/26,2023/24:jagiellonia-bialystok | 2024/25:jagiellonia-bialystok | 2025/26:radomiak-radom,101,same_club_history,all_flash_tokens_in_slug | initial_match_any_given_token | same_club_history | present_in_target_season,Adrián Diéguez GrandeJagiellonia Białystok,1,0,1,0,1,0
Jagiellonia Białystok,Konstantopoulos A.,jagiellonia-bialystok,apostolos-chrysovalantis-konstantopoulos,rakow-czestochowa,rakow-czestochowa,2025/26,2025/26:rakow-czestochowa,109,other_club_target_season,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | present_in_target_season,Apostolos-Chrysovalantis KonstantopoulosRaków Częstochowa,0,0,1,1,1,0
Jagiellonia Białystok,Szmyt K.,jagiellonia-bialystok,kajetan-szmyt,warta-poznan | zagebie-lubin,zagebie-lubin,2023/24 | 2024/25 | 2025/26,2023/24:warta-poznan | 2024/25:zagebie-lubin | 2025/26:zagebie-lubin,109,other_club_target_season,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | present_in_target_season,Kajetan SzmytWarta Poznań,0,0,1,1,1,0
Korona Kielce,Bąk D.,korona-kielce,daniel-bak,korona-kielce,,2023/24 | 2024/25,2023/24:korona-kielce | 2024/25:korona-kielce,117,same_club_history,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | same_club_history,Daniel BąkKorona Kielce,1,0,0,1,1,0
Korona Kielce,Bąk D.,korona-kielce,mateusz-bak,pogon-szczecin,,2024/25,2024/25:pogon-szczecin,90,historical_other_club,all_flash_tokens_in_slug | suffix_exact,Mateusz BąkPogoń Szczecin,0,0,0,1,0,0
Korona Kielce,Mamla R.,korona-kielce,rafa-mamla,korona-kielce,,2024/25,2024/25:korona-kielce,117,same_club_history,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | same_club_history,Rafał MamlaKorona Kielce,1,0,0,1,1,0
Lech Poznań,Andersson E.,lech-poznan,nils-erik-elias-andersson,lech-poznan,,2023/24 | 2024/25,2023/24:lech-poznan | 2024/25:lech-poznan,117,same_club_history,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | same_club_history,Nils Erik Elias AnderssonLech Poznań,1,0,0,1,1,0
Lech Poznań,Baranski B.,lech-poznan,bartomiej-pawe-baranski,ruch-chorzow,,2023/24,2023/24:ruch-chorzow,105,historical_other_club,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token,Bartłomiej Paweł BarańskiRuch Chorzów,0,0,0,1,1,0
Lech Poznań,Bąkowski K.,lech-poznan,krzysztof-maciej-bakowski,radomiak-radom,,2023/24,2023/24:radomiak-radom,105,historical_other_club,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token,Krzysztof Maciej BąkowskiRadomiak Radom,0,0,0,1,1,0
Lech Poznań,Ismaheel T.,lech-poznan,taofeek-ajibade-ismaheel,gornik-zabrze,gornik-zabrze,2024/25 | 2025/26,2024/25:gornik-zabrze | 2025/26:gornik-zabrze,109,other_club_target_season,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | present_in_target_season,Taofeek Ajibade IsmaheelGórnik Zabrze,0,0,1,1,1,0
Lech Poznań,Salamon B.,lech-poznan,bartosz-salamon,lech-poznan,,2023/24 | 2024/25,2023/24:lech-poznan | 2024/25:lech-poznan,117,same_club_history,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | same_club_history,Bartosz SalamonLech Poznań,1,0,0,1,1,0
Lechia Gdańsk,Wendt K.,lechia-gdansk,karl-sydney-wendt,lechia-gdansk,,2024/25,2024/25:lechia-gdansk,117,same_club_history,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | same_club_history,Karl Sydney WendtLechia Gdańsk,1,0,0,1,1,0
Legia Warszawa,Gual M.,legia-warszawa,marc-gual-huguet,legia-warszawa,,2023/24 | 2024/25,2023/24:legia-warszawa | 2024/25:legia-warszawa,97,same_club_history,all_flash_tokens_in_slug | initial_match_any_given_token | same_club_history,Marc Gual HuguetLegia Warszawa,1,0,0,0,1,0
Legia Warszawa,Kobylak G.,legia-warszawa,gabriel-kobylak,legia-warszawa,,2023/24 | 2024/25,2023/24:legia-warszawa | 2024/25:legia-warszawa,117,same_club_history,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | same_club_history,Gabriel KobylakLegia Warszawa,1,0,0,1,1,0
Pogoń Szczecin,Bak M.,pogon-szczecin,mateusz-bak,pogon-szczecin,,2024/25,2024/25:pogon-szczecin,117,same_club_history,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | same_club_history,Mateusz BąkPogoń Szczecin,1,0,0,1,1,0
Pogoń Szczecin,Bak M.,pogon-szczecin,daniel-bak,korona-kielce,,2023/24 | 2024/25,2023/24:korona-kielce | 2024/25:korona-kielce,90,historical_other_club,all_flash_tokens_in_slug | suffix_exact,Daniel BąkKorona Kielce,0,0,0,1,0,0
Radomiak Radom,Guilherme,radomiak-radom,guilherme-da-gama-zimovski,radomiak-radom,,2023/24 | 2024/25,2023/24:radomiak-radom | 2024/25:radomiak-radom,82,same_club_history,all_flash_tokens_in_slug | same_club_history,GuilhermeRadomiak Radom,1,0,0,0,0,0
Radomiak Radom,Koptas W.,radomiak-radom,wiktor-koptas,radomiak-radom,,2024/25,2024/25:radomiak-radom,117,same_club_history,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | same_club_history,Wiktor KoptasRadomiak Radom,1,0,0,1,1,0
Raków Częstochowa,Diaz J.,rakow-czestochowa,jesus-antonio-diaz-gomez,rakow-czestochowa | zagebie-lubin,zagebie-lubin,2024/25 | 2025/26,2024/25:rakow-czestochowa | 2025/26:zagebie-lubin,101,same_club_history,all_flash_tokens_in_slug | initial_match_any_given_token | same_club_history | present_in_target_season,Jesús Antonio Díaz GómezRaków Częstochowa,1,0,1,0,1,0
Raków Częstochowa,Mądrzyk J.,rakow-czestochowa,jakub-madrzyk,stal-mielec,,2024/25,2024/25:stal-mielec,105,historical_other_club,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token,Jakub MądrzykStal Mielec,0,0,0,1,1,0
Raków Częstochowa,Pieńko T.,rakow-czestochowa,tomasz-pienko,zagebie-lubin,zagebie-lubin,2023/24 | 2024/25 | 2025/26,2023/24:zagebie-lubin | 2024/25:zagebie-lubin | 2025/26:zagebie-lubin,109,other_club_target_season,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | present_in_target_season,Tomasz PieńkoKGHM Zagłębie Lubin,0,0,1,1,1,0
Raków Częstochowa,Silva J. C.,rakow-czestochowa,jean-carlos-silva-rocha,rakow-czestochowa,rakow-czestochowa,2023/24 | 2024/25 | 2025/26,2023/24:rakow-czestochowa | 2024/25:rakow-czestochowa | 2025/26:rakow-czestochowa,105,same_club_target_season,all_flash_tokens_in_slug | initial_match_any_given_token | same_club_history | same_club_target_season,Jean Carlos Silva RochaRaków Częstochowa,1,1,1,0,1,0
Raków Częstochowa,Silva J. C.,rakow-czestochowa,tomas-costa-silva,jagiellonia-bialystok,,2024/25,2024/25:jagiellonia-bialystok,105,historical_other_club,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token,Tomás SilvaJagiellonia Białystok,0,0,0,1,1,0
Raków Częstochowa,Silva J. C.,rakow-czestochowa,leonardo-borges-da-silva,pogon-szczecin,pogon-szczecin,2023/24 | 2024/25 | 2025/26,2023/24:pogon-szczecin | 2024/25:pogon-szczecin | 2025/26:pogon-szczecin,94,other_club_target_season,all_flash_tokens_in_slug | suffix_exact | present_in_target_season,Léo BorgesPogoń Szczecin,0,0,1,1,0,0
Raków Częstochowa,Silva J. C.,rakow-czestochowa,luis-silva,widzew-lodz,,2023/24 | 2024/25,2023/24:widzew-lodz | 2024/25:widzew-lodz,90,historical_other_club,all_flash_tokens_in_slug | suffix_exact,Luís SilvaWidzew Łódź,0,0,0,1,0,0
Raków Częstochowa,Silva J. C.,rakow-czestochowa,luiz-gustavo-oliveira-da-silva,pogon-szczecin,,2024/25,2024/25:pogon-szczecin,90,historical_other_club,all_flash_tokens_in_slug | suffix_exact,LuizãoPogoń Szczecin,0,0,0,1,0,0
Widzew Łódź,Gikiewicz R.,widzew-lodz,rafa-tadeusz-gikiewicz,widzew-lodz | zagebie-lubin,zagebie-lubin,2023/24 | 2024/25 | 2025/26,2023/24:widzew-lodz | 2024/25:widzew-lodz | 2025/26:zagebie-lubin,121,same_club_history,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | same_club_history | present_in_target_season,Rafał Tadeusz GikiewiczWidzew Łódź,1,0,1,1,1,0
Widzew Łódź,Kapuadi S.,widzew-lodz,steve-nkanu-kapuadi,legia-warszawa,legia-warszawa,2023/24 | 2024/25 | 2025/26,2023/24:legia-warszawa | 2024/25:legia-warszawa | 2025/26:legia-warszawa,109,other_club_target_season,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | present_in_target_season,Steve Nkanu KapuadiLegia Warszawa,0,0,1,1,1,0
Widzew Łódź,Krzywanski J.,widzew-lodz,jan-krzywanski,widzew-lodz,,2023/24,2023/24:widzew-lodz,117,same_club_history,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | same_club_history,Jan KrzywańskiWidzew Łódź,1,0,0,1,1,0
Widzew Łódź,Madej L.,widzew-lodz,leon-madej,widzew-lodz,,2024/25,2024/25:widzew-lodz,117,same_club_history,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | same_club_history,Leon MadejWidzew Łódź,1,0,0,1,1,0
Widzew Łódź,Volanakis P.,widzew-lodz,polydefkis-volanakis,widzew-lodz,,2024/25,2024/25:widzew-lodz,117,same_club_history,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | same_club_history,Polydefkis VolanakisWidzew Łódź,1,0,0,1,1,0
Wisła Płock,Gallapeni D.,wisla-plock,dion-gallapeni,widzew-lodz,widzew-lodz,2025/26,2025/26:widzew-lodz,109,other_club_target_season,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | present_in_target_season,Dion GallapeniWidzew Łódź,0,0,1,1,1,0
Wisła Płock,Zając F.,wisla-plock,jedrzej-zajac,lks-lodz,,2023/24,2023/24:lks-lodz,90,historical_other_club,all_flash_tokens_in_slug | suffix_exact,Jędrzej Stanisław ZającŁKS Łódź,0,0,0,1,0,0
Zagłębie Lubin,Marek S.,zagebie-lubin,marek-mroz,zagebie-lubin,zagebie-lubin,2023/24 | 2024/25 | 2025/26,2023/24:zagebie-lubin | 2024/25:zagebie-lubin | 2025/26:zagebie-lubin,90,same_club_target_season,all_flash_tokens_in_slug | same_club_history | same_club_target_season,Marek MrózKGHM Zagłębie Lubin,1,1,1,0,0,0
Zagłębie Lubin,Urbański M.,zagebie-lubin,kacper-urbanski,legia-warszawa,legia-warszawa,2025/26,2025/26:legia-warszawa,94,other_club_target_season,all_flash_tokens_in_slug | suffix_exact | present_in_target_season,Kacper UrbanskiLegia Warszawa,0,0,1,1,0,0
Zagłębie Lubin,Urbański M.,zagebie-lubin,wojciech-urbanski,legia-warszawa,legia-warszawa,2023/24 | 2024/25 | 2025/26,2023/24:legia-warszawa | 2024/25:legia-warszawa | 2025/26:legia-warszawa,94,other_club_target_season,all_flash_tokens_in_slug | suffix_exact | present_in_target_season,Wojciech UrbanskiLegia Warszawa,0,0,1,1,0,0
Zagłębie Lubin,Urbański M.,zagebie-lubin,piotr-urbanski,piast-gliwice,,2023/24,2023/24:piast-gliwice,90,historical_other_club,all_flash_tokens_in_slug | suffix_exact,Piotr UrbańskiPiast Gliwice,0,0,0,1,0,0
